problem_id,choice_label,value,misconception,cognitive_tag,explanation
cn_jzs_elem_b3_g1_001,B,26,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_001,C,32,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_001,D,28,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_001,E,34,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_002,A,21,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_002,B,23,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_002,C,26,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_002,D,27,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_003,A,29,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_003,B,26,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_003,C,32,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_003,E,25,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_004,A,31,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_004,B,37,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_004,D,29,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_004,E,35,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_005,A,30,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_005,C,24,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_005,D,26,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_005,E,29,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_006,B,28,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_006,C,32,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_006,D,29,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_006,E,35,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_007,A,32,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_007,B,38,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_007,C,34,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_007,D,40,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_008,A,29,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_008,B,32,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_008,C,33,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_008,E,27,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_009,A,32,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_009,B,38,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_009,D,31,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_009,E,35,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_010,A,43,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_010,C,35,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_010,D,41,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g1_010,E,37,pattern_step_error,pattern_recognition,这个选项通常来自规律步长判断错误。
cn_jzs_elem_b3_g2_001,B,21,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_001,C,140,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_001,D,68,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_001,E,136,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_002,A,17,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_002,B,77,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_002,C,-18,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_002,D,72,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_003,A,97,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_003,B,57,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_003,C,95,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_003,E,22,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_004,A,60,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_004,B,120,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_004,D,23,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_004,E,123,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_005,A,147,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_005,C,24,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_005,D,151,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_005,E,63,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_006,B,25,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_006,C,181,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
cn_jzs_elem_b3_g2_006,D,66,operation_error,operation_selection,这个选项通常来自运算步骤选择错误。
