problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_jzs_elem_b3_g1_001,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 26 后面再加 3，得到 29。 Step 3: 检查答案格式，得到 29。,只看最后一个数，没有确认前面每一步的变化。,答案 29 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 26 后面再加 3，得到 29。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_002,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 1，所以最后一个已知数 21 后面再加 1，得到 22。 Step 3: 检查答案格式，得到 22。,只看最后一个数，没有确认前面每一步的变化。,答案 22 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 1，所以最后一个已知数 21 后面再加 1，得到 22。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_003,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 25 后面再加 2，得到 27。 Step 3: 检查答案格式，得到 27。,只看最后一个数，没有确认前面每一步的变化。,答案 27 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 25 后面再加 2，得到 27。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_004,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 29 后面再加 3，得到 32。 Step 3: 检查答案格式，得到 32。,只看最后一个数，没有确认前面每一步的变化。,答案 32 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 29 后面再加 3，得到 32。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_005,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 1，所以最后一个已知数 24 后面再加 1，得到 25。 Step 3: 检查答案格式，得到 25。,只看最后一个数，没有确认前面每一步的变化。,答案 25 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 1，所以最后一个已知数 24 后面再加 1，得到 25。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_006,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 28 后面再加 2，得到 30。 Step 3: 检查答案格式，得到 30。,只看最后一个数，没有确认前面每一步的变化。,答案 30 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 28 后面再加 2，得到 30。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_007,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 32 后面再加 3，得到 35。 Step 3: 检查答案格式，得到 35。,只看最后一个数，没有确认前面每一步的变化。,答案 35 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 32 后面再加 3，得到 35。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_008,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 1，所以最后一个已知数 27 后面再加 1，得到 28。 Step 3: 检查答案格式，得到 28。,只看最后一个数，没有确认前面每一步的变化。,答案 28 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 1，所以最后一个已知数 27 后面再加 1，得到 28。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_009,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 2，所以最后一个已知数 31 后面再加 2，得到 33。 Step 3: 检查答案格式，得到 33。,只看最后一个数，没有确认前面每一步的变化。,答案 33 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 2，所以最后一个已知数 31 后面再加 2，得到 33。,把递增规律改成递减规律。
cn_jzs_elem_b3_g1_010,先比较相邻两个数相差多少。,每一步的变化量相同。,Step 1: 先比较相邻两个数相差多少。 Step 2: 相邻两个数每次都增加 3，所以最后一个已知数 35 后面再加 3，得到 38。 Step 3: 检查答案格式，得到 38。,只看最后一个数，没有确认前面每一步的变化。,答案 38 正确，因为它保持了题目中的数量关系。相邻两个数每次都增加 3，所以最后一个已知数 35 后面再加 3，得到 38。,把递增规律改成递减规律。
