id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g7_b1_001,把 -5，-2，0，3 按从小到大的顺序排列，正确的是哪一项？,-5<-2<0<3,multiple_choice,A:-5<-2<0<3|B:3<0<-2<-5|C:0<-2<3<-5|D:-2<-5<0<3|E:-5<0<-2<3,2,arith_integers,rational_number_ordering;number_line_reasoning,number_line_order;negative_number_comparison,absolute_value_order_error;negative_number_order_error,在数轴上，越靠左的数越小。负数小于 0，且绝对值越大的负数越小，所以顺序为 -5<-2<0<3。,CN Junior High Math,有理数,cn-junior-g7-rational-numbers,七年级：有理数与数轴,21000,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0111; pages=309-314; lesson=22; column=thinking_training,Foundation,Foundation,cn_rational_number_order,number_sense;constraint_reasoning,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_002,把 -7，-1，2，6 按从小到大的顺序排列，正确的是哪一项？,-7<-1<2<6,multiple_choice,A:6<2<-1<-7|B:-1<2<6<-7|C:-1<-7<2<6|D:-7<2<-1<6|E:-7<-1<2<6,2,arith_integers,rational_number_ordering;number_line_reasoning,number_line_order;negative_number_comparison,absolute_value_order_error;negative_number_order_error,在数轴上，越靠左的数越小。负数小于 0，且绝对值越大的负数越小，所以顺序为 -7<-1<2<6。,CN Junior High Math,有理数,cn-junior-g7-rational-numbers,七年级：有理数与数轴,21001,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0012; pages=45-48; lesson=4; column=thinking_training,Foundation,Foundation,cn_rational_number_order,number_sense;constraint_reasoning,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_003,把 -4，-3，1，5 按从小到大的顺序排列，正确的是哪一项？,-4<-3<1<5,multiple_choice,A:1<-3<-4<5|B:-3<-4<1<5|C:-4<1<-3<5|D:-4<-3<1<5|E:5<1<-3<-4,2,arith_integers,rational_number_ordering;number_line_reasoning,number_line_order;negative_number_comparison,absolute_value_order_error;negative_number_order_error,在数轴上，越靠左的数越小。负数小于 0，且绝对值越大的负数越小，所以顺序为 -4<-3<1<5。,CN Junior High Math,有理数,cn-junior-g7-rational-numbers,七年级：有理数与数轴,21002,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0047; pages=146-151; lesson=13; column=thinking_training,Foundation,Foundation,cn_rational_number_order,number_sense;constraint_reasoning,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_004,把 -9，-6，-1，4 按从小到大的顺序排列，正确的是哪一项？,-9<-6<-1<4,multiple_choice,A:-6<-9<-1<4|B:-9<-1<-6<4|C:-9<-6<-1<4|D:4<-1<-6<-9|E:-1<4<-6<-9,2,arith_integers,rational_number_ordering;number_line_reasoning,number_line_order;negative_number_comparison,absolute_value_order_error;negative_number_order_error,在数轴上，越靠左的数越小。负数小于 0，且绝对值越大的负数越小，所以顺序为 -9<-6<-1<4。,CN Junior High Math,有理数,cn-junior-g7-rational-numbers,七年级：有理数与数轴,21003,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0002; pages=10-12; lesson=unknown; column=thinking_training,Foundation,Foundation,cn_rational_number_order,number_sense;constraint_reasoning,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_005,把 -8，-2，2，7 按从小到大的顺序排列，正确的是哪一项？,-8<-2<2<7,multiple_choice,A:-8<2<-2<7|B:-8<-2<2<7|C:7<2<-2<-8|D:-2<2<7<-8|E:-2<-8<2<7,2,arith_integers,rational_number_ordering;number_line_reasoning,number_line_order;negative_number_comparison,absolute_value_order_error;negative_number_order_error,在数轴上，越靠左的数越小。负数小于 0，且绝对值越大的负数越小，所以顺序为 -8<-2<2<7。,CN Junior High Math,有理数,cn-junior-g7-rational-numbers,七年级：有理数与数轴,21004,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0005; pages=19-22; lesson=2; column=thinking_training,Foundation,Foundation,cn_rational_number_order,number_sense;constraint_reasoning,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_006,把 -6，-5，0，8 按从小到大的顺序排列，正确的是哪一项？,-6<-5<0<8,multiple_choice,A:-6<-5<0<8|B:8<0<-5<-6|C:0<-5<-6<8|D:-5<-6<0<8|E:-6<0<-5<8,2,arith_integers,rational_number_ordering;number_line_reasoning,number_line_order;negative_number_comparison,absolute_value_order_error;negative_number_order_error,在数轴上，越靠左的数越小。负数小于 0，且绝对值越大的负数越小，所以顺序为 -6<-5<0<8。,CN Junior High Math,有理数,cn-junior-g7-rational-numbers,七年级：有理数与数轴,21005,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0015; pages=53-56; lesson=5; column=thinking_training,Foundation,Foundation,cn_rational_number_order,number_sense;constraint_reasoning,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_007,数 -6 在数轴上到原点的距离是多少？,6,multiple_choice,A:-6|B:7|C:5|D:-4|E:6,2,arith_absolute_value;arith_integers,absolute_value;number_line_distance,distance_from_zero;absolute_value_definition,absolute_value_sign_error;distance_negative_error,一个数到原点的距离就是它的绝对值。|-6|=6，所以距离为 6。,CN Junior High Math,有理数,cn-junior-g7-absolute-value,七年级：相反数与绝对值,21006,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0025; pages=83-85; lesson=8; column=thinking_training,Foundation,Foundation,cn_absolute_value_distance,number_sense;definition_recall,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_008,数 8 在数轴上到原点的距离是多少？,8,multiple_choice,A:9|B:7|C:10|D:8|E:-8,2,arith_absolute_value;arith_integers,absolute_value;number_line_distance,distance_from_zero;absolute_value_definition,absolute_value_sign_error;distance_negative_error,一个数到原点的距离就是它的绝对值。|8|=8，所以距离为 8。,CN Junior High Math,有理数,cn-junior-g7-absolute-value,七年级：相反数与绝对值,21007,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0033; pages=99-101; lesson=9; column=thinking_training,Foundation,Foundation,cn_absolute_value_distance,number_sense;definition_recall,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_009,数 -11 在数轴上到原点的距离是多少？,11,multiple_choice,A:10|B:-9|C:11|D:-11|E:12,2,arith_absolute_value;arith_integers,absolute_value;number_line_distance,distance_from_zero;absolute_value_definition,absolute_value_sign_error;distance_negative_error,一个数到原点的距离就是它的绝对值。|-11|=11，所以距离为 11。,CN Junior High Math,有理数,cn-junior-g7-absolute-value,七年级：相反数与绝对值,21008,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0050; pages=158-162; lesson=15; column=thinking_training,Foundation,Foundation,cn_absolute_value_distance,number_sense;definition_recall,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b1_010,数 0 在数轴上到原点的距离是多少？,0,multiple_choice,A:5|B:0|C:1|D:2|E:4,2,arith_absolute_value;arith_integers,absolute_value;number_line_distance,distance_from_zero;absolute_value_definition,absolute_value_sign_error;distance_negative_error,一个数到原点的距离就是它的绝对值。|0|=0，所以距离为 0。,CN Junior High Math,有理数,cn-junior-g7-absolute-value,七年级：相反数与绝对值,21009,jianzisheng_cn_junior_grade7_batch1_v0,尖子生高分题库7年级.pdf; block=grade7_b0056; pages=182-185; lesson=16; column=thinking_training,Foundation,Foundation,cn_absolute_value_distance,number_sense;definition_recall,90,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
