problem_id,hint_1,hint_2,step_by_step,common_mistake,why_correct,variant_idea
cn_jzs_jr_g8_pilot_001,第三边必须大于两边之差。,第三边还必须小于两边之和。,Step 1: 第三边必须大于两边之差。 Step 2: 三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<13。 Step 3: 得到答案 3<x<13。,只写小于两边之和，忘记大于两边之差。,答案 3<x<13 正确。三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<13。,把第三边限制为整数，求可能的取值个数。
cn_jzs_jr_g8_pilot_002,第三边必须大于两边之差。,第三边还必须小于两边之和。,Step 1: 第三边必须大于两边之差。 Step 2: 三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<15。 Step 3: 得到答案 3<x<15。,只写小于两边之和，忘记大于两边之差。,答案 3<x<15 正确。三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<15。,把第三边限制为整数，求可能的取值个数。
cn_jzs_jr_g8_pilot_003,第三边必须大于两边之差。,第三边还必须小于两边之和。,Step 1: 第三边必须大于两边之差。 Step 2: 三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<17。 Step 3: 得到答案 3<x<17。,只写小于两边之和，忘记大于两边之差。,答案 3<x<17 正确。三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<17。,把第三边限制为整数，求可能的取值个数。
cn_jzs_jr_g8_pilot_004,第三边必须大于两边之差。,第三边还必须小于两边之和。,Step 1: 第三边必须大于两边之差。 Step 2: 三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<19。 Step 3: 得到答案 3<x<19。,只写小于两边之和，忘记大于两边之差。,答案 3<x<19 正确。三角形任意两边之差小于第三边，任意两边之和大于第三边，所以 3<x<19。,把第三边限制为整数，求可能的取值个数。
cn_jzs_jr_g8_pilot_005,先回忆三角形三个内角和。,用 180° 减去两个已知角。,Step 1: 先回忆三角形三个内角和。 Step 2: 三角形内角和为 180°，第三个角为 180°-38°-64°=78°。 Step 3: 得到答案 78。,把两个已知角相加后直接作为答案。,答案 78 正确。三角形内角和为 180°，第三个角为 180°-38°-64°=78°。,把一个角设为另一个角的 2 倍，练习方程建模。
cn_jzs_jr_g8_pilot_006,先回忆三角形三个内角和。,用 180° 减去两个已知角。,Step 1: 先回忆三角形三个内角和。 Step 2: 三角形内角和为 180°，第三个角为 180°-42°-61°=77°。 Step 3: 得到答案 77。,把两个已知角相加后直接作为答案。,答案 77 正确。三角形内角和为 180°，第三个角为 180°-42°-61°=77°。,把一个角设为另一个角的 2 倍，练习方程建模。
cn_jzs_jr_g8_pilot_007,先回忆三角形三个内角和。,用 180° 减去两个已知角。,Step 1: 先回忆三角形三个内角和。 Step 2: 三角形内角和为 180°，第三个角为 180°-46°-58°=76°。 Step 3: 得到答案 76。,把两个已知角相加后直接作为答案。,答案 76 正确。三角形内角和为 180°，第三个角为 180°-46°-58°=76°。,把一个角设为另一个角的 2 倍，练习方程建模。
cn_jzs_jr_g8_pilot_008,先回忆三角形三个内角和。,用 180° 减去两个已知角。,Step 1: 先回忆三角形三个内角和。 Step 2: 三角形内角和为 180°，第三个角为 180°-50°-55°=75°。 Step 3: 得到答案 75。,把两个已知角相加后直接作为答案。,答案 75 正确。三角形内角和为 180°，第三个角为 180°-50°-55°=75°。,把一个角设为另一个角的 2 倍，练习方程建模。
cn_jzs_jr_g8_pilot_009,先判断给出的条件包含边还是角。,注意夹角、夹边这类关键词。,Step 1: 先判断给出的条件包含边还是角。 Step 2: “两边及其夹角对应相等”对应 SAS 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。 Step 3: 得到答案 SAS。,把 AAA 或 SSA 当作全等判定。,答案 SAS 正确。“两边及其夹角对应相等”对应 SAS 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。,给出图形条件，让学生选择可证明全等的三角形。
cn_jzs_jr_g8_pilot_010,先判断给出的条件包含边还是角。,注意夹角、夹边这类关键词。,Step 1: 先判断给出的条件包含边还是角。 Step 2: “两角及其夹边对应相等”对应 ASA 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。 Step 3: 得到答案 ASA。,把 AAA 或 SSA 当作全等判定。,答案 ASA 正确。“两角及其夹边对应相等”对应 ASA 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。,给出图形条件，让学生选择可证明全等的三角形。
cn_jzs_jr_g8_pilot_011,先判断给出的条件包含边还是角。,注意夹角、夹边这类关键词。,Step 1: 先判断给出的条件包含边还是角。 Step 2: “三边对应相等”对应 SSS 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。 Step 3: 得到答案 SSS。,把 AAA 或 SSA 当作全等判定。,答案 SSS 正确。“三边对应相等”对应 SSS 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。,给出图形条件，让学生选择可证明全等的三角形。
cn_jzs_jr_g8_pilot_012,先判断给出的条件包含边还是角。,注意夹角、夹边这类关键词。,Step 1: 先判断给出的条件包含边还是角。 Step 2: “直角三角形斜边和一条直角边对应相等”对应 HL 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。 Step 3: 得到答案 HL。,把 AAA 或 SSA 当作全等判定。,答案 HL 正确。“直角三角形斜边和一条直角边对应相等”对应 HL 判定。注意 AAA 只能说明相似，SSA 一般不能直接判定全等。,给出图形条件，让学生选择可证明全等的三角形。
cn_jzs_jr_g8_pilot_013,确认题目给的是斜边和一条直角边。,用斜边平方减去已知直角边平方。,Step 1: 确认题目给的是斜边和一条直角边。 Step 2: 由勾股定理，另一条直角边的平方为 $10^2$-$6^2$=64，所以另一条直角边为 8。 Step 3: 得到答案 8。,直接用斜边减去直角边。,答案 8 正确。由勾股定理，另一条直角边的平方为 $10^2$-$6^2$=64，所以另一条直角边为 8。,给出两条直角边，反求斜边。
cn_jzs_jr_g8_pilot_014,确认题目给的是斜边和一条直角边。,用斜边平方减去已知直角边平方。,Step 1: 确认题目给的是斜边和一条直角边。 Step 2: 由勾股定理，另一条直角边的平方为 $13^2$-$5^2$=144，所以另一条直角边为 12。 Step 3: 得到答案 12。,直接用斜边减去直角边。,答案 12 正确。由勾股定理，另一条直角边的平方为 $13^2$-$5^2$=144，所以另一条直角边为 12。,给出两条直角边，反求斜边。
cn_jzs_jr_g8_pilot_015,确认题目给的是斜边和一条直角边。,用斜边平方减去已知直角边平方。,Step 1: 确认题目给的是斜边和一条直角边。 Step 2: 由勾股定理，另一条直角边的平方为 $15^2$-$9^2$=144，所以另一条直角边为 12。 Step 3: 得到答案 12。,直接用斜边减去直角边。,答案 12 正确。由勾股定理，另一条直角边的平方为 $15^2$-$9^2$=144，所以另一条直角边为 12。,给出两条直角边，反求斜边。
cn_jzs_jr_g8_pilot_016,确认题目给的是斜边和一条直角边。,用斜边平方减去已知直角边平方。,Step 1: 确认题目给的是斜边和一条直角边。 Step 2: 由勾股定理，另一条直角边的平方为 $17^2$-$8^2$=225，所以另一条直角边为 15。 Step 3: 得到答案 15。,直接用斜边减去直角边。,答案 15 正确。由勾股定理，另一条直角边的平方为 $17^2$-$8^2$=225，所以另一条直角边为 15。,给出两条直角边，反求斜边。
cn_jzs_jr_g8_pilot_017,横坐标负责左右移动。,纵坐标负责上下移动，向下可看成加负数。,"Step 1: 横坐标负责左右移动。 Step 2: 向右平移改变横坐标，加 4；向上平移改变纵坐标，加 -2。所以 A'=(1,0)。 Step 3: 得到答案 (1,0)。",把横坐标和纵坐标的变化量写反。,"答案 (1,0) 正确。向右平移改变横坐标，加 4；向上平移改变纵坐标，加 -2。所以 A'=(1,0)。",给出平移前后两个点，反求平移向量。
cn_jzs_jr_g8_pilot_018,横坐标负责左右移动。,纵坐标负责上下移动，向下可看成加负数。,"Step 1: 横坐标负责左右移动。 Step 2: 向右平移改变横坐标，加 3；向上平移改变纵坐标，加 -1。所以 A'=(2,2)。 Step 3: 得到答案 (2,2)。",把横坐标和纵坐标的变化量写反。,"答案 (2,2) 正确。向右平移改变横坐标，加 3；向上平移改变纵坐标，加 -1。所以 A'=(2,2)。",给出平移前后两个点，反求平移向量。
cn_jzs_jr_g8_pilot_019,横坐标负责左右移动。,纵坐标负责上下移动，向下可看成加负数。,"Step 1: 横坐标负责左右移动。 Step 2: 向右平移改变横坐标，加 2；向上平移改变纵坐标，加 0。所以 A'=(3,4)。 Step 3: 得到答案 (3,4)。",把横坐标和纵坐标的变化量写反。,"答案 (3,4) 正确。向右平移改变横坐标，加 2；向上平移改变纵坐标，加 0。所以 A'=(3,4)。",给出平移前后两个点，反求平移向量。
