id,statement,answer,answer_type,choices,difficulty,concepts,skills,patterns,misconceptions,solution,course,theme,chapter,chapter_title,sequence,source_collection,source_file,taxonomy_layer,taxonomy_stage,problem_type,cognitive_tags,estimated_time_seconds,notes,language,curriculum_system,region,display_track,grade_band,content_status
cn_jzs_jr_g7_b3_001,计算：1/2+-3/2，结果是多少？,-1,multiple_choice,A:-1|B:1/2|C:-3/2|D:0|E:1,3,arith_fractions;arith_integers,fraction_addition;signed_number_operations,same_denominator_fraction_sum;signed_fraction,denominator_addition_error;sign_error,同分母分数相加，分母不变，分子相加。计算后结果为 -1。,CN Junior High Math,有理数,cn-junior-g7-fraction-integer-operations,七年级：有理数分数运算,21200,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0045; pages=138-144; lesson=13; column=competition_boost,Standard,Foundation,cn_signed_fraction_operation,fraction_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_002,计算：2/3+1/3，结果是多少？,1,multiple_choice,A:2/3|B:1/3|C:0|D:-1|E:1,3,arith_fractions;arith_integers,fraction_addition;signed_number_operations,same_denominator_fraction_sum;signed_fraction,denominator_addition_error;sign_error,同分母分数相加，分母不变，分子相加。计算后结果为 1。,CN Junior High Math,有理数,cn-junior-g7-fraction-integer-operations,七年级：有理数分数运算,21201,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0102; pages=289-290; lesson=13; column=thinking_training,Standard,Foundation,cn_signed_fraction_operation,fraction_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_003,计算：-5/4+1/4，结果是多少？,-1,multiple_choice,A:1/4|B:0|C:1|D:-1|E:-5/4,3,arith_fractions;arith_integers,fraction_addition;signed_number_operations,same_denominator_fraction_sum;signed_fraction,denominator_addition_error;sign_error,同分母分数相加，分母不变，分子相加。计算后结果为 -1。,CN Junior High Math,有理数,cn-junior-g7-fraction-integer-operations,七年级：有理数分数运算,21202,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0063; pages=200-200; lesson=16; column=thinking_training,Standard,Foundation,cn_signed_fraction_operation,fraction_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_004,计算：3/5+-8/5，结果是多少？,-1,multiple_choice,A:0|B:1|C:-1|D:3/5|E:-8/5,3,arith_fractions;arith_integers,fraction_addition;signed_number_operations,same_denominator_fraction_sum;signed_fraction,denominator_addition_error;sign_error,同分母分数相加，分母不变，分子相加。计算后结果为 -1。,CN Junior High Math,有理数,cn-junior-g7-fraction-integer-operations,七年级：有理数分数运算,21203,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0070; pages=212-217; lesson=16; column=competition_boost,Standard,Foundation,cn_signed_fraction_operation,fraction_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_005,计算：-7/6+1/6，结果是多少？,-1,multiple_choice,A:1|B:-1|C:-7/6|D:1/6|E:0,3,arith_fractions;arith_integers,fraction_addition;signed_number_operations,same_denominator_fraction_sum;signed_fraction,denominator_addition_error;sign_error,同分母分数相加，分母不变，分子相加。计算后结果为 -1。,CN Junior High Math,有理数,cn-junior-g7-fraction-integer-operations,七年级：有理数分数运算,21204,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0064; pages=200-202; lesson=16; column=worked_example,Standard,Foundation,cn_signed_fraction_operation,fraction_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_006,计算：5/8+3/8，结果是多少？,1,multiple_choice,A:1|B:5/8|C:3/8|D:0|E:-1,3,arith_fractions;arith_integers,fraction_addition;signed_number_operations,same_denominator_fraction_sum;signed_fraction,denominator_addition_error;sign_error,同分母分数相加，分母不变，分子相加。计算后结果为 1。,CN Junior High Math,有理数,cn-junior-g7-fraction-integer-operations,七年级：有理数分数运算,21205,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0095; pages=279-280; lesson=4; column=thinking_training,Standard,Foundation,cn_signed_fraction_operation,fraction_reasoning;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_007,当 $x=4$ 时，代数式 2x+3 的值是多少？,11,multiple_choice,A:9|B:8|C:13|D:-11|E:11,3,prealg_substitution;prealg_expressions;arith_integers,expression_evaluation;signed_number_operations,substitution;linear_expression_value,substitution_error;operation_order_error,把 $x=4$ 代入，得到 $2 \\times 4$+3=11。,CN Junior High Math,整式,cn-junior-g7-expression-evaluation,七年级：代数式求值,21206,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0082; pages=238-240; lesson=22; column=thinking_training,Standard,Bridge,cn_expression_evaluation,symbol_evaluation;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_008,当 $x=2$ 时，代数式 -3x+5 的值是多少？,-1,multiple_choice,A:-6|B:1|C:4|D:-1|E:4,3,prealg_substitution;prealg_expressions;arith_integers,expression_evaluation;signed_number_operations,substitution;linear_expression_value,substitution_error;operation_order_error,把 $x=2$ 代入，得到 -$3 \\times 2$+5=-1。,CN Junior High Math,整式,cn-junior-g7-expression-evaluation,七年级：代数式求值,21207,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0003; pages=12-16; lesson=unknown; column=competition_boost,Standard,Bridge,cn_expression_evaluation,symbol_evaluation;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_009,当 $x=3$ 时，代数式 4x-7 的值是多少？,5,multiple_choice,A:7|B:-5|C:5|D:0|E:12,3,prealg_substitution;prealg_expressions;arith_integers,expression_evaluation;signed_number_operations,substitution;linear_expression_value,substitution_error;operation_order_error,把 $x=3$ 代入，得到 $4 \\times 3$-7=5。,CN Junior High Math,整式,cn-junior-g7-expression-evaluation,七年级：代数式求值,21208,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0016; pages=56-60; lesson=5; column=competition_boost,Standard,Bridge,cn_expression_evaluation,symbol_evaluation;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_010,当 $x=-4$ 时，代数式 -2x-1 的值是多少？,7,multiple_choice,A:12|B:7|C:-7|D:8|E:9,3,prealg_substitution;prealg_expressions;arith_integers,expression_evaluation;signed_number_operations,substitution;linear_expression_value,substitution_error;operation_order_error,把 $x=-4$ 代入，得到 -2×-4-1=7。,CN Junior High Math,整式,cn-junior-g7-expression-evaluation,七年级：代数式求值,21209,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0041; pages=126-130; lesson=12; column=competition_boost,Standard,Bridge,cn_expression_evaluation,symbol_evaluation;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_011,当 $x=-1$ 时，代数式 5x+6 的值是多少？,1,multiple_choice,A:1|B:10|C:-5|D:3|E:-1,3,prealg_substitution;prealg_expressions;arith_integers,expression_evaluation;signed_number_operations,substitution;linear_expression_value,substitution_error;operation_order_error,把 $x=-1$ 代入，得到 5×-1+6=1。,CN Junior High Math,整式,cn-junior-g7-expression-evaluation,七年级：代数式求值,21210,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0086; pages=249-252; lesson=24; column=competition_boost,Standard,Bridge,cn_expression_evaluation,symbol_evaluation;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_012,当 $x=-2$ 时，代数式 -6x+2 的值是多少？,14,multiple_choice,A:-6|B:12|C:16|D:-14|E:14,3,prealg_substitution;prealg_expressions;arith_integers,expression_evaluation;signed_number_operations,substitution;linear_expression_value,substitution_error;operation_order_error,把 $x=-2$ 代入，得到 -6×-2+2=14。,CN Junior High Math,整式,cn-junior-g7-expression-evaluation,七年级：代数式求值,21211,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0099; pages=283-284; lesson=8; column=thinking_training,Standard,Bridge,cn_expression_evaluation,symbol_evaluation;signed_number_fluency,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_013,解方程：2(x+3)+1=15，x 的值是多少？,4,multiple_choice,A:3|B:8|C:-4|D:4|E:5,4,alg_linear_equations;prealg_simplification,equation_with_parentheses;distributive_property,linear_equation_parentheses;inverse_operations,partial_distribution_error;inverse_operations_error,先去括号或先移项都可以。化简后解得 $x=4$。关键是括号外的 2 要乘括号内每一项。,CN Junior High Math,一元一次方程,cn-junior-g7-equations-parentheses,七年级：含括号的一元一次方程,21212,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0112; pages=314-315; lesson=24; column=thinking_training,Honors,Algebra Readiness,cn_g7_equation_with_parentheses,symbolic_fluency;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_014,解方程：3(x+2)-1=20，x 的值是多少？,5,multiple_choice,A:7|B:-5|C:5|D:6|E:4,4,alg_linear_equations;prealg_simplification,equation_with_parentheses;distributive_property,linear_equation_parentheses;inverse_operations,partial_distribution_error;inverse_operations_error,先去括号或先移项都可以。化简后解得 $x=5$。关键是括号外的 3 要乘括号内每一项。,CN Junior High Math,一元一次方程,cn-junior-g7-equations-parentheses,七年级：含括号的一元一次方程,21213,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0006; pages=22-27; lesson=2; column=competition_boost,Honors,Algebra Readiness,cn_g7_equation_with_parentheses,symbolic_fluency;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_015,解方程：4(x+1)+2=18，x 的值是多少？,3,multiple_choice,A:-3|B:3|C:4|D:2|E:5,4,alg_linear_equations;prealg_simplification,equation_with_parentheses;distributive_property,linear_equation_parentheses;inverse_operations,partial_distribution_error;inverse_operations_error,先去括号或先移项都可以。化简后解得 $x=3$。关键是括号外的 4 要乘括号内每一项。,CN Junior High Math,一元一次方程,cn-junior-g7-equations-parentheses,七年级：含括号的一元一次方程,21214,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0093; pages=276-277; lesson=2; column=thinking_training,Honors,Algebra Readiness,cn_g7_equation_with_parentheses,symbolic_fluency;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_016,解方程：5(x-1)+3=23，x 的值是多少？,4,multiple_choice,A:4|B:5|C:3|D:-4|E:9,4,alg_linear_equations;prealg_simplification,equation_with_parentheses;distributive_property,linear_equation_parentheses;inverse_operations,partial_distribution_error;inverse_operations_error,先去括号或先移项都可以。化简后解得 $x=4$。关键是括号外的 5 要乘括号内每一项。,CN Junior High Math,一元一次方程,cn-junior-g7-equations-parentheses,七年级：含括号的一元一次方程,21215,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0019; pages=68-70; lesson=6; column=competition_boost,Honors,Algebra Readiness,cn_g7_equation_with_parentheses,symbolic_fluency;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_017,解方程：2(x-4)+5=17，x 的值是多少？,6,multiple_choice,A:7|B:5|C:9|D:-6|E:6,4,alg_linear_equations;prealg_simplification,equation_with_parentheses;distributive_property,linear_equation_parentheses;inverse_operations,partial_distribution_error;inverse_operations_error,先去括号或先移项都可以。化简后解得 $x=6$。关键是括号外的 2 要乘括号内每一项。,CN Junior High Math,一元一次方程,cn-junior-g7-equations-parentheses,七年级：含括号的一元一次方程,21216,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0026; pages=85-86; lesson=8; column=competition_boost,Honors,Algebra Readiness,cn_g7_equation_with_parentheses,symbolic_fluency;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_018,解方程：3(x-2)+4=25，x 的值是多少？,7,multiple_choice,A:6|B:-7|C:12|D:7|E:8,4,alg_linear_equations;prealg_simplification,equation_with_parentheses;distributive_property,linear_equation_parentheses;inverse_operations,partial_distribution_error;inverse_operations_error,先去括号或先移项都可以。化简后解得 $x=7$。关键是括号外的 3 要乘括号内每一项。,CN Junior High Math,一元一次方程,cn-junior-g7-equations-parentheses,七年级：含括号的一元一次方程,21217,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0075; pages=224-226; lesson=22; column=thinking_training,Honors,Algebra Readiness,cn_g7_equation_with_parentheses,symbolic_fluency;inverse_operations,130,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_019,不等式 x>2 在数轴上的表示是哪一种？,空心圆在 2，向右,multiple_choice,A:空心圆在 5，向右|B:实心圆在 0，向右|C:空心圆在 2，向右|D:空心圆在 2，向左|E:实心圆在 2，向右,3,alg_linear_inequalities;arith_integers,number_line_inequality;inequality_interpretation,inequality_graph;open_closed_endpoint,open_closed_endpoint_error;direction_error,严格不等号用空心圆，含等号用实心圆；大于向右，小于向左。因此答案是“空心圆在 2，向右”。,CN Junior High Math,不等式,cn-junior-g7-inequality-number-line,七年级：不等式解集与数轴,21218,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0022; pages=77-78; lesson=6; column=competition_boost,Standard,Algebra Readiness,cn_g7_inequality_number_line,relation_reasoning;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_020,不等式 x<5 在数轴上的表示是哪一种？,空心圆在 5，向左,multiple_choice,A:实心圆在 0，向右|B:空心圆在 5，向左|C:空心圆在 2，向左|D:实心圆在 2，向右|E:空心圆在 5，向右,3,alg_linear_inequalities;arith_integers,number_line_inequality;inequality_interpretation,inequality_graph;open_closed_endpoint,open_closed_endpoint_error;direction_error,严格不等号用空心圆，含等号用实心圆；大于向右，小于向左。因此答案是“空心圆在 5，向左”。,CN Junior High Math,不等式,cn-junior-g7-inequality-number-line,七年级：不等式解集与数轴,21219,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0030; pages=93-94; lesson=9; column=competition_boost,Standard,Algebra Readiness,cn_g7_inequality_number_line,relation_reasoning;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
cn_jzs_jr_g7_b3_021,不等式 x≥-1 在数轴上的表示是哪一种？,实心圆在 -1，向右,multiple_choice,A:实心圆在 -1，向右|B:空心圆在 2，向左|C:实心圆在 2，向右|D:空心圆在 5，向右|E:实心圆在 0，向右,3,alg_linear_inequalities;arith_integers,number_line_inequality;inequality_interpretation,inequality_graph;open_closed_endpoint,open_closed_endpoint_error;direction_error,严格不等号用空心圆，含等号用实心圆；大于向右，小于向左。因此答案是“实心圆在 -1，向右”。,CN Junior High Math,不等式,cn-junior-g7-inequality-number-line,七年级：不等式解集与数轴,21220,jianzisheng_cn_junior_grade7_batch3_v0,尖子生高分题库7年级.pdf; block=grade7_b0034; pages=101-102; lesson=9; column=competition_boost,Standard,Algebra Readiness,cn_g7_inequality_number_line,relation_reasoning;spatial_reasoning,110,Grade 7 junior-high pilot item generated from cleaned OCR coverage signals. Original-equivalent project-native content; no full textbook exercise text is reproduced.,zh,CN,CN,中文校内,初中,pilot
